Row,Anon Student Id,Age,Problem Hierarchy,question_id,Step Start Time,Step End Time,Correct First Attempt,Step Duration (sec),Answer Type,KC(Default),skill_id,Opportunity (Default),template_id
6,6,16+,1,3,15-07-2023 15:03,15-07-2023 15:04,0,60,Drag & Drop,Algebra,1,1,1
7,7,16+,1,3,15-07-2023 15:39,15-07-2023 15:40,0,6,Drag & Drop,Algebra,1,1,1
9,9,16+,1,3,15-07-2023 17:34,15-07-2023 17:35,0,45,Drag & Drop,Algebra,1,1,1
10,10,16+,1,3,15-07-2023 20:00,15-07-2023 20:01,0,49,Drag & Drop,Algebra,1,1,1
14,14,16+,1,3,17-07-2023 22:19,17-07-2023 22:20,0,41,Drag & Drop,Algebra,1,1,1
25,25,16+,1,3,23-07-2023 12:17,23-07-2023 12:19,1,120,Drag & Drop,Algebra,1,1,1
6,6,16+,1,5,15-07-2023 15:18,15-07-2023 15:18,1,30,Drag & Drop,Fractions,2,1,1
7,7,16+,1,5,15-07-2023 15:40,15-07-2023 15:40,0,16,Drag & Drop,Fractions,2,1,1
9,9,16+,1,5,15-07-2023 17:39,15-07-2023 17:40,1,28,Drag & Drop,Fractions,2,1,1
10,10,16+,1,5,15-07-2023 20:55,15-07-2023 20:56,0,52,Drag & Drop,Fractions,2,1,1
14,14,16+,1,5,17-07-2023 22:24,17-07-2023 22:25,1,44,Drag & Drop,Fractions,2,1,1
25,25,16+,1,5,23-07-2023 12:27,23-07-2023 12:30,1,180,Drag & Drop,Fractions,2,1,1
6,6,16+,2,7,15-07-2023 15:18,15-07-2023 15:21,0,120,Drag & Drop,Geometry,3,1,1
7,7,16+,2,7,15-07-2023 15:41,15-07-2023 15:41,1,3,Drag & Drop,Geometry,3,1,1
9,9,16+,2,7,15-07-2023 17:43,15-07-2023 17:44,1,34,Drag & Drop,Geometry,3,1,1
10,10,16+,2,7,15-07-2023 20:56,15-07-2023 20:58,1,60,Drag & Drop,Geometry,3,1,1
14,14,16+,2,7,17-07-2023 22:27,17-07-2023 22:28,0,60,Drag & Drop,Geometry,3,1,1
25,25,16+,2,7,23-07-2023 12:33,23-07-2023 12:33,1,49,Drag & Drop,Geometry,3,1,1
6,6,16+,2,7,15-07-2023 15:18,15-07-2023 15:21,0,120,Drag & Drop,Numbers,4,1,1
7,7,16+,2,7,15-07-2023 15:41,15-07-2023 15:41,1,3,Drag & Drop,Numbers,4,1,1
9,9,16+,2,7,15-07-2023 17:43,15-07-2023 17:44,1,34,Drag & Drop,Numbers,4,1,1
10,10,16+,2,7,15-07-2023 20:56,15-07-2023 20:58,1,60,Drag & Drop,Numbers,4,1,1
14,14,16+,2,7,17-07-2023 22:27,17-07-2023 22:28,0,60,Drag & Drop,Numbers,4,1,1
25,25,16+,2,7,23-07-2023 12:33,23-07-2023 12:33,1,49,Drag & Drop,Numbers,4,1,1
6,6,16+,2,7,15-07-2023 15:18,15-07-2023 15:21,0,120,Drag & Drop,Percentages,5,1,1
7,7,16+,2,7,15-07-2023 15:41,15-07-2023 15:41,1,3,Drag & Drop,Percentages,5,1,1
9,9,16+,2,7,15-07-2023 17:43,15-07-2023 17:44,1,34,Drag & Drop,Percentages,5,1,1
10,10,16+,2,7,15-07-2023 20:56,15-07-2023 20:58,1,60,Drag & Drop,Percentages,5,1,1
14,14,16+,2,7,17-07-2023 22:27,17-07-2023 22:28,0,60,Drag & Drop,Percentages,5,1,1
25,25,16+,2,7,23-07-2023 12:33,23-07-2023 12:33,1,49,Drag & Drop,Percentages,5,1,1
6,6,16+,2,8,15-07-2023 15:21,15-07-2023 15:23,1,120,Drag the Words,Fractions,2,1,2
7,7,16+,2,8,15-07-2023 15:41,15-07-2023 15:41,0,8,Drag the Words,Fractions,2,1,2
9,9,16+,2,8,15-07-2023 17:44,15-07-2023 17:46,0,60,Drag the Words,Fractions,2,1,2
